order_item_id,order_id,item_id,size_id,quantity,price_at_time
1,1,1,2,1,6.57
2,1,4,9,2,7.09
3,1,1,2,1,6.57
4,2,2,5,1,6.64
5,3,8,20,2,8.73
6,3,3,,1,11.746541270501767
7,4,4,9,1,7.09
8,5,8,19,2,7.31
9,6,3,,1,11.7752688274716
10,6,2,5,1,6.64
11,6,6,15,2,7.03
12,7,1,3,2,8.26
13,7,2,4,1,4.97
14,7,6,15,2,7.03
15,8,2,4,1,4.97
16,8,7,,1,12.321270576125258
17,8,8,20,2,8.73
18,9,1,3,1,8.26
19,9,8,19,1,7.31
20,10,6,14,1,4.69
21,10,1,1,2,4.66
22,10,6,16,2,8.04
23,11,5,11,1,4.67
24,11,6,14,1,4.69
25,11,3,,1,11.046542524819447
26,12,7,,2,11.746923045501092
27,12,3,,1,10.295911094006602
28,12,7,,2,12.19196064195786
29,13,7,,2,12.543941376517541
30,13,7,,1,11.284032984819738
31,14,6,15,1,7.03
32,14,4,10,2,9.29
33,14,4,10,2,9.29
34,15,1,1,1,4.66
35,15,6,15,2,7.03
36,15,2,6,1,8.17
37,16,7,,1,11.396547105369116
38,16,7,,2,10.56628368334523
39,17,5,11,2,4.67
40,17,6,15,1,7.03
41,17,6,14,1,4.69
42,18,2,5,2,6.64
43,19,1,2,1,6.57
44,19,7,,2,10.28650563941133
45,19,2,6,1,8.17
46,20,1,2,2,6.57
47,20,3,,2,12.648405474161553
48,20,2,6,2,8.17
49,21,7,,1,10.269789266834138
50,21,4,8,1,4.35
51,22,2,4,2,4.97
52,22,2,6,2,8.17
53,22,4,9,2,7.09
54,23,4,9,2,7.09
55,23,7,,1,11.791905274494978
56,24,7,,2,10.139298491259467
57,25,6,15,1,7.03
58,25,7,,2,12.92800893825018
59,26,3,,1,11.79808449790515
60,27,2,4,2,4.97
61,28,2,5,2,6.64
62,28,7,,2,10.121613041006842
63,28,1,3,2,8.26
64,29,7,,1,10.74848700288899
65,29,7,,2,12.745975181262363
66,29,3,,1,10.440932924946674
67,30,1,1,1,4.66
68,31,4,8,1,4.35
69,31,6,14,1,4.69
70,31,3,,2,11.152316466760766
71,32,5,12,1,7.16
72,32,1,3,1,8.26
73,33,1,3,2,8.26
74,34,7,,2,12.311535604698426
75,34,8,20,1,8.73
76,35,2,6,2,8.17
77,35,1,2,2,6.57
78,35,4,8,1,4.35
79,36,3,,1,12.437882956009563
80,36,5,13,2,9.01
81,36,7,,1,12.548295054768941
82,37,2,6,2,8.17
83,37,1,3,1,8.26
84,37,7,,2,11.350179133060669
85,38,2,6,2,8.17
86,38,3,,2,10.526285054032476
87,38,8,20,1,8.73
88,39,8,19,1,7.31
89,40,7,,1,10.003410491951493
90,40,5,13,2,9.01
91,41,5,13,1,9.01
92,41,3,,1,10.590895440445395
93,42,2,6,2,8.17
94,42,5,13,1,9.01
95,42,8,19,2,7.31
96,43,6,14,1,4.69
97,44,8,18,1,4.05
98,44,2,5,1,6.64
99,44,5,11,1,4.67
100,45,5,13,2,9.01
101,45,4,9,2,7.09
102,45,3,,2,11.69914582516909
103,46,7,,2,12.668519439337999
104,46,2,6,1,8.17
105,47,2,4,1,4.97
106,47,7,,2,10.008358963363426
107,48,8,18,1,4.05
108,49,3,,2,11.042334304395983
109,49,6,16,1,8.04
110,50,2,6,1,8.17
111,50,7,,2,11.23502794597296
112,51,7,,2,12.447916191652801
113,51,8,19,1,7.31
114,51,6,15,1,7.03
115,52,1,3,1,8.26
116,53,5,12,2,7.16
117,53,4,10,2,9.29
118,53,2,5,1,6.64
119,54,8,20,1,8.73
120,54,3,,1,12.370432895191875
121,55,6,16,1,8.04
122,55,4,10,2,9.29
123,56,2,6,1,8.17
124,57,2,5,2,6.64
125,58,1,1,2,4.66
126,59,1,2,2,6.57
127,60,6,15,2,7.03
128,61,8,19,2,7.31
129,62,5,11,1,4.67
130,62,5,13,2,9.01
131,63,5,12,2,7.16
132,63,4,8,2,4.35
133,64,5,11,1,4.67
134,65,4,9,2,7.09
135,66,4,10,1,9.29
136,66,1,3,1,8.26
137,67,6,15,2,7.03
138,67,6,15,1,7.03
139,68,5,12,2,7.16
140,68,7,,1,11.932637267706772
141,68,1,3,2,8.26
