show_seat_id,show_id,seat_id,is_available
1,1,1,True
2,1,2,True
3,1,3,True
4,1,4,True
5,1,5,True
6,1,6,True
7,1,7,True
8,1,8,True
9,1,9,True
10,1,10,True
11,1,11,True
12,1,12,True
13,1,13,True
14,1,14,True
15,1,15,True
16,1,16,True
17,1,17,True
18,1,18,True
19,1,19,True
20,1,20,True
21,1,21,True
22,1,22,True
23,1,23,True
24,1,24,True
25,1,25,True
26,1,26,True
27,1,27,True
28,1,28,True
29,1,29,True
30,1,30,True
31,1,31,True
32,1,32,True
33,1,33,True
34,1,34,True
35,1,35,True
36,1,36,True
37,1,37,True
38,1,38,True
39,1,39,True
40,1,40,True
41,1,41,True
42,1,42,True
43,1,43,True
44,1,44,True
45,1,45,True
46,1,46,True
47,1,47,True
48,1,48,True
49,1,49,True
50,1,50,False
51,1,51,True
52,1,52,True
53,1,53,True
54,1,54,True
55,1,55,True
56,1,56,True
57,1,57,True
58,1,58,True
59,1,59,True
60,1,60,True
61,1,61,True
62,1,62,True
63,1,63,True
64,1,64,True
65,1,65,True
66,1,66,True
67,1,67,True
68,1,68,True
69,1,69,True
70,1,70,True
71,1,71,True
72,1,72,True
73,1,73,True
74,1,74,True
75,1,75,True
76,1,76,True
77,1,77,True
78,1,78,True
79,1,79,True
80,1,80,True
81,1,81,True
82,1,82,True
83,1,83,True
84,1,84,True
85,1,85,True
86,1,86,True
87,1,87,True
88,1,88,True
89,1,89,True
90,1,90,True
91,1,91,True
92,1,92,True
93,1,93,True
94,1,94,True
95,1,95,True
96,1,96,True
97,1,97,True
98,1,98,True
99,1,99,True
100,1,100,False
101,1,101,True
102,1,102,True
103,1,103,True
104,1,104,True
105,1,105,True
106,1,106,True
107,1,107,True
108,1,108,True
109,1,109,True
110,1,110,True
111,1,111,True
112,1,112,True
113,1,113,True
114,1,114,True
115,1,115,True
116,1,116,True
117,1,117,True
118,1,118,True
119,1,119,True
120,1,120,True
121,1,121,True
122,1,122,True
123,1,123,True
124,1,124,True
125,1,125,True
126,1,126,True
127,1,127,True
128,1,128,True
129,1,129,True
130,1,130,True
131,1,131,True
132,1,132,True
133,1,133,True
134,1,134,True
135,1,135,True
136,1,136,True
137,1,137,True
138,1,138,True
139,1,139,True
140,1,140,True
141,1,141,True
142,1,142,True
143,1,143,True
144,1,144,True
145,1,145,True
146,1,146,True
147,1,147,True
148,1,148,True
149,1,149,True
150,1,150,True
151,2,1,True
152,2,2,True
153,2,3,True
154,2,4,True
155,2,5,True
156,2,6,True
157,2,7,True
158,2,8,True
159,2,9,True
160,2,10,True
161,2,11,True
162,2,12,True
163,2,13,True
164,2,14,True
165,2,15,True
166,2,16,True
167,2,17,True
168,2,18,True
169,2,19,True
170,2,20,True
171,2,21,True
172,2,22,True
173,2,23,True
174,2,24,True
175,2,25,True
176,2,26,True
177,2,27,True
178,2,28,True
179,2,29,True
180,2,30,True
181,2,31,True
182,2,32,True
183,2,33,True
184,2,34,True
185,2,35,True
186,2,36,True
187,2,37,True
188,2,38,True
